x,y,token
-49.985207,-14.073696,character
-34.158287,-25.309694,easy
-47.341225,-7.869583,fortune
-45.676384,-11.364841,suitable
-27.573814,-18.210024,age
6.703868,-18.204124,pleasant
-49.675896,-13.740416,manners
-16.997654,-31.64805,there
-55.234524,-12.600535,satisfaction
-41.9167,-10.497077,considering
-43.809933,-11.50575,self
-44.632164,-10.083939,denying
-42.39817,-18.085403,generous
-48.546185,-14.725635,friendship
-32.209347,-25.651972,always
-49.845486,-27.594982,wished
-35.58852,-16.218151,promoted
-50.39471,-17.169142,match
15.3541355,55.144073,black
-48.010284,10.59282,morning
23.297955,4.9957504,work
-30.900248,-35.317123,want
-33.913708,-42.47617,would
-25.90106,27.774366,be
-44.572205,13.306053,felt
-34.496143,6.6619678,hour
-33.933994,9.6919985,recalled
-4.1450396,-10.372187,past
-54.23227,-16.413868,kindness
55.52111,14.056577,sixteen
-16.71619,-33.267353,how
37.971188,-24.022163,taught
20.284607,-0.5816298,played
55.945465,15.345904,five
-12.968403,33.185314,old
-42.66948,-13.606578,devoted
-48.162323,-14.726034,powers
-46.85685,-22.60907,attach
-32.466244,-20.028072,amuse
-43.23896,-12.241619,health
-35.30488,-6.719564,nursed
16.533056,18.625322,through
-16.916634,7.649758,various
-35.243504,2.814237,childhood
1.1284131,-22.281113,A
-13.506318,27.364496,large
-36.357147,-19.783863,debt
-55.26382,-12.503947,gratitude
-40.30577,1.4520907,owing
-17.505499,-31.578112,here
-49.50268,-7.916714,intercourse
-37.756176,19.517046,last
55.407837,15.775023,seven
-47.592518,-17.020548,equal
-40.95198,-4.5321646,footing
4.4041305,-19.078339,perfect
-47.236374,-18.881065,unreserve
-55.720512,-0.9250908,soon
-48.691063,12.77155,followed
-54.809402,13.828616,Isabella
24.145298,20.11931,their
-18.53127,25.190098,each
-18.538494,25.228237,other
-5.940206,-10.954875,yet
-32.904934,-20.909904,dearer
-43.581066,15.531319,recollection
-55.684868,-7.085747,companion
-16.748722,-4.1399937,such
-39.118332,14.231279,few
38.056805,-16.715212,possessed
35.219284,-38.236256,:
-40.815346,-15.589277,intelligent
-48.114914,2.009459,informed
-54.852768,-19.933144,useful
-41.74623,-23.726866,knowing
23.97041,-25.002003,ways
-54.790707,-19.91674,interested
5.3489113,36.90399,its
-48.806217,-9.188424,concerns
-51.532806,-10.595969,peculiarly
-51.77589,-18.701948,pleasure
-57.994995,-2.3382227,scheme
-45.097805,-18.623798,hers
46.909245,-22.933119,whom
-34.04444,-42.512318,could
-8.737262,-43.78627,speak
52.265335,-8.879194,arose
-31.555248,-25.435911,never
-39.382576,-28.729084,find
-44.57806,-29.207241,fault
-3.2750587,-48.74212,How
19.411167,-33.266727,bear
-36.054077,-17.146093,change
-20.07702,-41.363625,?--
-5.557966,-47.716717,true
-48.09838,8.145927,going
-33.665424,6.865634,half
-32.67252,47.99396,mile
-26.051916,31.017946,them
-49.597298,-22.89026,aware
-13.130122,27.436745,great
-32.7243,-42.16947,must
-52.865673,-19.289545,difference
13.369739,36.49645,between
-56.899136,16.747444,Mrs
-48.916695,-11.320582,advantages
-48.8692,-13.344721,natural
-49.303364,-11.282847,domestic
-47.691456,-17.897675,suffering
-21.787792,4.0116115,intellectual
-46.33539,-2.4832993,solitude
15.657692,-26.203253,dearly
-46.827797,-31.354612,loved
-26.500162,31.54693,he
-26.645266,31.701046,He
12.471904,-34.723026,meet
-54.897835,-8.050123,conversation
-49.789227,-12.928971,rational
-33.056355,20.276577,playful
24.921368,-21.263205,evil
-42.23598,-0.9495612,actual
-37.88751,-22.210392,disparity
13.343255,6.554288,ages
-11.862234,-50.842358,(
-11.731967,-50.8287,)
-45.0193,-5.1708775,increased
-44.547462,-10.12983,constitution
-49.47792,-11.177685,habits
5.400877,-19.616404,life
-31.045109,-9.952642,without
-49.86527,-11.475359,activity
-39.31169,-20.852165,mind
19.123363,-3.7798977,body
-25.620842,-24.726484,older
-22.17951,-6.756031,though
-8.118525,16.033524,everywhere
-39.92098,-5.722194,friendliness
21.384586,-15.369279,heart
-53.813736,-20.362085,amiable
51.69176,14.97209,talents
-52.582077,-5.435896,recommended
-26.188179,31.171225,him
-38.50959,20.049479,time
-36.00165,13.063953,comparatively
48.773926,-5.8659334,removed
-37.910397,-27.277817,matrimony
-53.20131,3.6431818,settled
-55.014717,7.7024956,London
0.67471373,60.358707,miles
-26.134895,51.948586,off
-5.4714675,9.396091,beyond
-35.871933,-3.180733,daily
-0.67068887,3.1604583,reach
14.432795,-3.3343172,October
14.473009,-3.346742,November
-18.977999,34.903767,struggled
-55.63776,3.6436298,Hartfield
-48.660973,9.439785,Christmas
-48.070393,9.872569,next
-54.621113,1.530954,visit
52.72843,-32.69944,husband
39.29834,-7.428454,children
21.481089,2.8670552,fill
-8.021214,-31.983454,give
-48.886883,-11.424044,society
-26.431353,49.39171,again
-55.64384,3.395777,Highbury
26.275,34.13633,populous
-45.332645,11.100797,village
-22.45419,27.128275,almost
-55.08142,7.4603405,town
-49.865513,-5.74185,spite
-24.99953,-3.013424,separate
-4.594475,53.229977,lawn
-23.088497,-11.152904,shrubberies
46.132793,-23.399633,name
-32.18823,-26.641598,really
-38.363213,-30.22185,belong
-48.822876,-8.079901,afforded
1.537094,-16.906334,equals
15.913036,-1.0900908,All
-30.761906,42.490273,looked
-25.817877,49.9709,up
-49.27251,-9.2953825,acquaintance
-40.7833,-10.375727,universally
-35.01392,-28.385498,civil
43.479828,-9.565614,among
-37.592327,-16.529465,accepted
-26.928114,14.438985,even
-43.012794,14.037311,melancholy
-47.5003,19.53564,sigh
-31.299303,-33.385204,wish
-34.977795,-26.04116,impossible
12.118336,-25.657284,things
1.9045044,12.416704,till
-22.855545,37.488834,awoke
-21.0091,29.512789,made
-49.384476,-23.877762,necessary
-58.569557,-7.7653627,cheerful
5.171278,-10.847317,His
-53.76612,-11.833761,spirits
-51.3025,-5.9585485,required
-46.616974,-5.109403,support
-45.075974,-18.44637,nervous
-32.417526,-24.660625,easily
-34.87806,-7.009678,depressed
-24.498867,-27.838993,used
-31.391378,-12.1723995,hating
-17.29544,-10.653184,part
-33.50171,-16.822535,kind
-35.70274,-11.441153,origin
-43.982758,-26.088324,reconciled
52.811108,-32.542576,daughter
-54.792927,-17.360796,marrying
14.899544,-27.8992,nor
-2.139587,-19.129995,ever
-38.990704,-19.086885,compassion
-50.56345,-19.968893,entirely
-27.16896,30.265116,when
-53.004543,-25.335289,obliged
-47.77716,-14.02581,selfishness
-41.043854,-26.239586,able
-29.49341,-35.41072,suppose
-36.984974,-28.207718,feel
-36.67137,-31.190313,differently
-55.010582,-21.55986,disposed
17.790745,-35.44666,done
-9.194211,-14.465884,sad
-10.919128,-29.401306,thing
-33.315376,-28.612251,deal
-47.851368,-26.084784,happier
-25.919325,28.484674,if
-54.385582,1.5743558,spent
1.446441,-20.775684,rest
-42.816967,26.009903,smiled
-33.560802,-32.766903,cheerfully
21.625088,-32.295704,keep
15.183038,-22.918762,thoughts
-50.411793,9.183366,tea
-27.447529,-35.643368,say
-42.676273,4.2982445,exactly
-41.288174,28.660889,said
-40.083645,31.321402,""""
-24.947493,-42.85455,Poor
-20.250256,-41.409386,!--
-3.1595504,-48.802624,What
-43.759357,-27.651915,pity
-23.775219,-24.09802,is
-20.921612,-41.910763,"!"""
-32.589104,-42.103634,cannot
-30.312296,-33.658154,agree
-15.353451,-31.892267,you
-27.486822,-39.178505,papa
-29.041899,-36.458267,know
-32.26805,-28.532583,good
